icon,lat,lon,offentlig_avtale,tooltip
printer,60.1967341866174,11.988382023321233,,"Akuttmottak: Kongsvinger, Akerhus Universitetssykehus"
printer,59.9332556369839,10.991820017503152,,"Akuttmottak: Akershus Universitetssykehus, Akershus Universitetssykehus"
printer,60.149600659689014,10.264295969902108,,"Akuttmottak: Ringerike, Vestre Viken"
printer,59.74602996958917,10.201444542131274,,"Akuttmottak: Drammen, Vestre Viken"
printer,59.900767503937715,10.514039507415198,,"Akuttmottak: Bærum, Vestre Viken"
printer,59.9367563031241,10.706171805868511,,"Akuttmottak: Diakonhjemmet, Oslo Universitetssykehus"
printer,59.95206241072572,10.719767945616143,,"Akuttmottak: Rikshospitalet, Oslo Universitetssykehus"
printer,59.93335606688404,10.752264227997866,,"Akuttmottak: Lovisenberg, Oslo Universitetssykehus"
printer,59.93390546838969,10.737525803924454,,"Akuttmottak: Ullevål Sykehus, Oslo Universitetssykehus"
printer,59.66792304117025,9.66275729994085,,"Akuttmottak: Kongsberg, Vestre Viken"
printer,59.570254483156255,9.258724073650548,,"Akuttmottak: Notodden, Sykehuset i Telemark"
printer,59.31608067617317,11.030175897148185,,"Akuttmottak: Kalnes, Sykehuset Østfold"
printer,59.270064256194075,10.420108780069022,,"Akuttmottak: Tønsberg, Sykehuset I Vestfold"
printer,60.87613550293077,11.575596330751088,,"Akuttmottak: Elverum, Sykehuset Innlandet"
printer,61.11240664344489,10.480676106534688,,"Akuttmottak: Lillehammer, Sykehuset Innlandet"
printer,60.80656354695583,10.683534824587955,,"Akuttmottak: Gjøvik, Sykehuset Innlandet"
printer,60.79915276890414,11.068117395199485,,"Akuttmottak: Hamar, Sykehuset Innlandet"
printer,58.298041355656075,6.657906531244025,,"Akuttmottak: Flekkefjord, Sørlandet Sykehus"
printer,58.46706113809754,8.753735580025214,,"Akuttmottak: Arendal, Sørlandet Sykehus"
printer,58.16637902030504,7.985718748193434,,"Akuttmottak: Kristiansand, Sørlandet Sykehus"
printer,59.195182537632384,9.598270978421949,,"Akuttmottak: Skien, Sykehuset i Telemark"
printer,61.10431305697939,7.523703816173014,,"Akuttmottak: Lærdal, Helse Førde"
printer,60.059270803466106,6.5480289998636945,,"Akuttmottak: Odda, Helse Fonna"
printer,60.63176518398064,6.423236653103469,,"Akuttmottak: Voss, Helse Bergen"
printer,60.37816700530495,5.355715669447359,,"Akuttmottak: Haraldsplass Diakonale Sykehus, Helse Bergen"
printer,60.370439725907374,5.363670722595963,,"Akuttmottak: Haukeland Universitetssykehus, Helse Bergen"
printer,61.45777905906447,5.88088907697755,,"Akuttmottak: Førde , Helse Førde"
printer,61.91271979364201,5.976333106016734,,"Akuttmottak: Nordfjord, Helse Førde"
printer,62.14977614342284,6.093502120438695,,"Akuttmottak: Volda, Helse Møre Og Romsdal"
printer,58.94897613677965,5.73329989495237,,"Akuttmottak: Stavanger Universitetssjukehus, Helse Stavanger"
printer,59.40718384344256,5.274308339768644,,"Akuttmottak: Haugesund, Helse Fonna"
printer,59.79396057091864,5.506162848793985,,"Akuttmottak: Stord, Helse Fonna"
printer,62.46071315447467,6.3193108089851755,,"Akuttmottak: Ålesund, Helse Møre Og Romsdal"
printer,63.11356980559365,7.717568688350468,,"Akuttmottak: Kristiansund, Helse Møre Og Romsdal"
printer,62.73542231467828,7.141089996635752,,"Akuttmottak: Molde, Helse Møre Og Romsdal"
printer,62.27086444319421,10.775164664792477,,"Akuttmottak: Tynset, Sykehuset Innlandet"
printer,63.739211599917205,11.291593953083957,,"Akuttmottak: Levanger, Helse Nord-trøndelag"
printer,64.47094081788799,11.505116740640668,,"Akuttmottak: Namsos, Helse Nord-trøndelag"
printer,63.29151227956122,9.83822825827953,,"Akuttmottak: Orkdal, St. Olavs Hospital"
printer,63.41678812527158,10.389665887698945,,"Akuttmottak: St. Olavs Hospital, St. Olavs Hospital"
printer,67.28675399645113,14.390512767556748,,"Akuttmottak: Bodø, Nordlandssykehuset"
printer,68.12357777036111,13.534636232222503,,"Akuttmottak: Lofoten, Gravdal, Nordlandssykehuset"
printer,66.32359481502219,14.194242740130262,,"Akuttmottak: Mo i Rana, Helgelandssykehuset"
printer,65.82922270970138,13.219640837789042,,"Akuttmottak: Mosjøen, Helgelandssykehuset"
printer,66.01556800248034,12.622367961813614,,"Akuttmottak: Sandnessjøen, Helgelandssykehuset"
printer,69.68553478401462,18.97315759533906,,Akuttmottak: Tromsø Universitetssykehuset Nord-norge (UNN)
printer,68.79831859363277,16.523947964343265,,"Akuttmottak: Harstad, Universitetssykehuset Nord-norge (UNN)"
printer,68.44271065402287,17.411690050537036,,"Akuttmottak: Narvik, Universitetssykehuset Nord-norge (UNN)"
printer,68.55575504321064,14.910935918290988,,"Akuttmottak: Vesterålen, Stokmarknes, Nordlandssykehuset"
printer,70.6733552054163,23.67665661756243,,"Akuttmottak: Hammerfest, Finnmarkssykehuset"
printer,69.70919345174966,30.04045793309722,,"Akuttmottak: Kirkenes, Finnmarkssykehuset"
