address,icon,lat,lon,name,offentlig_avtale,source_url
"Grensev. 99, 0663 Oslo",delete-alt,59.916811632424626,10.807186162408135,Apomed,,https://www.felleskatalogen.no/medisin/apotek/Oslo/apomed-gamle-oslo
"Aksdal Senter, Aksdalv., Postboks 143, 5575 Aksdal",delete-alt,59.42274136058922,5.4362917447592904,Apotek 1 Aksdal,,https://www.felleskatalogen.no/medisin/apotek/TysvaEr/apotek-1-aksdal-tysvaer
"Markv. 14, 9510 Alta",delete-alt,69.96774334204294,23.26608764742217,Apotek 1 Alta,,https://www.felleskatalogen.no/medisin/apotek/Alta/apotek-1-alta-alta
"Amanda Storsenter, Longhammarv. 27, 5536 Haugesund",delete-alt,59.39890018586513,5.327505075823325,Apotek 1 Amanda,,https://www.felleskatalogen.no/medisin/apotek/Haugesund/apotek-1-amanda-haugesund
"Amfi Voss, Hardangerv. 25, 5705 Voss",delete-alt,60.62789508487944,6.4323904677443,Apotek 1 Amfi Voss,,https://www.felleskatalogen.no/medisin/apotek/Voss/apotek-1-amfi-voss-voss
"Østre Strandg. 76 B, 4608 Kristiansand",delete-alt,58.14373009692004,8.006918717407524,Apotek 1 Aquarama,,https://www.felleskatalogen.no/medisin/apotek/Kristiansand/apotek-1-aquarama-kristiansand
"Arken Senter Steen & Strøm, Åsane Senter 39, 5116 Ulset",delete-alt,60.46597312419184,5.316216176806342,Apotek 1 Arken,,https://www.felleskatalogen.no/medisin/apotek/Bergen/apotek-1-arken-bergen
"Indre Arna-v. 175, 5261 Indre Arna",delete-alt,60.42222104006632,5.46229521945092,Apotek 1 Arna,,https://www.felleskatalogen.no/medisin/apotek/Indre_Arna/apotek-1-arna-indre-arna
"Strøket 9, Postboks 8, 1371 Asker",delete-alt,59.83841741780455,10.435517868623343,Apotek 1 Asker,,https://www.felleskatalogen.no/medisin/apotek/Asker/apotek-1-asker-asker
"Eidsbergv. 7, Postboks 613, 1833 Askim",delete-alt,59.58374150994022,11.172999524914283,Apotek 1 Askim,,https://www.felleskatalogen.no/medisin/apotek/Askim/apotek-1-askim-askim
"Amfi Askøy, Kleppev. 110, 5308 Kleppestø",delete-alt,60.42183865809207,5.20188018812951,Apotek 1 Askøy,,https://www.felleskatalogen.no/medisin/apotek/KleppestoE/apotek-1-askoey-kleppestoe
"Holmedalen 2 C, 5300 Kleppestø",delete-alt,60.404935998163374,5.2133223027564135,Apotek 1 Askøybroen,,https://www.felleskatalogen.no/medisin/apotek/KleppestoE/apotek-1-askoeybroen-kleppestoe
"Senterv. 7, 1929 Auli",delete-alt,60.03766986650553,11.346659858619807,Apotek 1 Auli,,https://www.felleskatalogen.no/medisin/apotek/Auli/apotek-1-auli-auli
"Birkelandsv. 2, 5392 Storebø",delete-alt,60.096139384868636,5.223709599628384,Apotek 1 Austevoll,,https://www.felleskatalogen.no/medisin/apotek/Austevoll/apotek-1-austevoll-austevoll
"Mastrevik Torg, Postboks 25 Mastrevik Torg, 5941 Austrheim",delete-alt,60.781446790177256,4.930942610888343,Apotek 1 Austrheim,,https://www.felleskatalogen.no/medisin/apotek/Austrheim/apotek-1-austrheim-austrheim
"Kong Augvaldsv. 6, 4262 Avaldsnes",delete-alt,59.35360313467362,5.277516391057841,Apotek 1 Avaldsnes,,https://www.felleskatalogen.no/medisin/apotek/Avaldsnes/apotek-1-avaldsnes-avaldsnes
"Averøyv. 24, 6530 Averøy",delete-alt,63.05313513635504,7.625982405910883,Apotek 1 Averøy,,https://www.felleskatalogen.no/medisin/apotek/AveroEy/apotek-1-averoey-averoey
"Sentrumsv. 22, 9040 Nordkjosbotn",delete-alt,69.21517568332386,19.56491361415289,Apotek 1 Balsfjord,,https://www.felleskatalogen.no/medisin/apotek/Nordkjosbotn/apotek-1-balsfjord-nordkjosbotn
"Gammelv. 8, Postboks 180, 9365 Bardu",delete-alt,68.85883658101923,18.338147633674645,Apotek 1 Bardu,,https://www.felleskatalogen.no/medisin/apotek/Bardu/apotek-1-bardu-bardu
"Begby Senter, Olav Kyrresv. 2, 1639 Gamle Fredrikstad",delete-alt,59.2173853299238,11.000847671712913,Apotek 1 Begby,,https://www.felleskatalogen.no/medisin/apotek/Fredrikstad/apotek-1-begby-fredrikstad
"Gamle Ringeriksv. 36, 1357 Bekkestua",delete-alt,59.91944889125299,10.585297111524987,Apotek 1 Bekkestua,,https://www.felleskatalogen.no/medisin/apotek/Bekkestua/apotek-1-bekkestua-bekkestua
"Strømg. 8, 5015 Bergen",delete-alt,60.389663634296134,5.324395096122526,Apotek 1 Bergen Storsenter,,https://www.felleskatalogen.no/medisin/apotek/Bergen/apotek-1-bergen-storsenter-bergen
"Bolagsg. 1, Postboks 1012, 8518 Narvik",delete-alt,68.43708977640965,17.422010463310123,Apotek 1 Bien - Narvik,,https://www.felleskatalogen.no/medisin/apotek/Narvik/apotek-1-bien-narvik-narvik
"Lietorget, Lieg. 10, 3717 Skien",delete-alt,59.20995518101639,9.60830275550679,Apotek 1 Bien - Skien,,https://www.felleskatalogen.no/medisin/apotek/Skien/apotek-1-bien-skien-skien
"Dalsbergstien 19, 0167 Oslo",delete-alt,59.921216393950054,10.730363157669641,Apotek 1 Bislett,,https://www.felleskatalogen.no/medisin/apotek/Oslo/apotek-1-bislett-st-hanshaugen
"Sverdrupsg. 23, 4007 Stavanger",delete-alt,58.969525915667205,5.717535119036991,Apotek 1 Bjergsted,,https://www.felleskatalogen.no/medisin/apotek/Stavanger/apotek-1-bjergsted-stavanger
"Rykenev. 109, 4824 Bjorbekk",delete-alt,58.439238417874925,8.704667280507165,Apotek 1 Bjorbekk,,https://www.felleskatalogen.no/medisin/apotek/Arendal/apotek-1-bjorbekk-arendal
"Bjugntorget, Sentrumsv. 6, Postboks 158, 7159 Bjugn",delete-alt,63.76943889645751,9.812597101678229,Apotek 1 Bjugn,,https://www.felleskatalogen.no/medisin/apotek/Bjugn/apotek-1-bjugn-bjugn
"Bjørkelangen Torg, Bjørkev. 22, 1940 Bjørkelangen",delete-alt,59.88744597032711,11.56767426164867,Apotek 1 Bjørkelangen,,https://www.felleskatalogen.no/medisin/apotek/BjoErkelangen/apotek-1-bjoerkelangen-bjoerkelangen
