address,area,icon,id,image_url,is_private,lat,lon,meta,name,offentlig_avtale,phone_number,region_type,same_location_as,slug,strengths,type,updated_at
"Wergelands vei 2, 3613 Kongsberg","Kongsberg, Øvre Eiker, Sigdal, Nore og Uvdal, Rollag og Flesberg",accel,98c9d286-4475-4a95-a296-8503871515af,,False,59.6658494043701,9.654249320050429,,"Vestre Viken, Kongsberg DPS, ROP-teamet",,32 72 58 50,4,Voksenpsykiatrisk poliklinikk,vestre-viken-kongsberg-dps-rop-teamet,"Vi har i ca 15 år ikke bare jobbet med TSB, men vært et rus- og psykiatriteam der vi har tatt hensyn til både rus- og psykisk lidelse både under utredning og behandling. Sosialfaglig, psykologisk og lege-ressurser ansatt i teamet. Samlokalisert med VOP.",0,2 år siden
"Lade Allé 86, 7041 Trondheim","Helse Midt-Norge: Trøndelag, Møre og Romsdal",accel,98c9d286-c09a-4539-99be-ee2d2b0096fb,,True,63.44344896901464,10.460928343023138,,"Blå Kors klinikk Lade, Avdeling for alkohol- og medikamentavhengighet",,73 84 85 00,2,"Avrusningsavdelingen, ROP-avdelingen, Avdeling for gravide og småbarnsfamilier",bla-kors-klinikk-lade-avdeling-for-alkohol-og-medikamentavhengighet,"Kjønnsdelt behandlingstilbud forbeholdt alkohol- og medikamentavhengighet. Kvinner (7 plasser) og menn (9 plasser) bor i adskilte døgnposter, og alt program foregår kjønnsdelt. Dette gir i følge tilbakemeldinger ekstra behandlingsro og trygghet, og avdelingen kan vise til svært gode resultater. Det tilbys sekvensielle forløp og vi har brukerstyrte plasser. Familie- og pårørendeinvolvering, stabiliserende traumebehandling, brukermedvirkning, trening og aktivitet.",0,4 måneder siden
"Tertnesveien 35, 5113 Tertnes",,accel,98c9d27c-f6c4-42db-9591-d2d45a19be9d,,False,60.45421209549035,5.313605589809814,,"Helse Bergen, AFR seksjon Tertnes",,55 95 73 10,3,Kvinnepost og Familieambulatoriet,helse-bergen-afr-seksjon-tertnes,"MBT, familieterapi, treningsterapi, uttrykksterapi, pårørendearbeid, gruppeterapi, utredning og kartlegging. Familieambulatorie med Cos-P grupper, koordinerende instans som bistår familiene gjennom graviditet og frem til barnet når skolealder.",0,2 år siden
"Peter Skredders veg 34, 2312 Ottestad",Opptaksområdet er fordelt på 42 kommuner i Innlandet.,accel,98c9d281-b432-466c-94f5-f65ea79cb67f,,False,60.78259534263663,11.159397804528025,,"Sykehuset Innlandet, Enhet for utredning",,91 50 62 00,4,Enhet for avrusning,sykehuset-innlandet-enhet-for-utredning,"Vår styrke er at vi jobber systematisk med ulike kartleggingsverktøy og diagnoseverktøy. Miljøobservasjoner og en behandlingsplan som pasienten kjenner til. Tverrfaglig sammensatt, de fleste jobber i 100 % stillinger og er er høyskoleutdannet.",0,2 år siden
"Sjukehusveien 9, 2500 Tynset",,accel,98c9d28d-de80-4247-8c18-36cf73af1548,,False,62.27105412006429,10.768679906164227,,"Sykehuset Innlandet, DPS Tynset, vurderingsteam",,91 50 62 00,4,,sykehuset-innlandet-dps-tynset-vurderingsteam,,1,2 år siden
"Skogstøstraen 37, 4029 Stavanger",,accel,98c9d28d-5d61-405c-94b4-4bdbd6644dab,,True,58.99185841571047,5.690697840960994,,KORUS Stavanger,,51 70 33 22,3,,korus-stavanger,,2,2 år siden
"Vestmoa 27, 6018 Ålesund",Kommuner i Møre og Romsdal fylke,accel,98c9d27b-204a-4b95-b061-aebf5f5dc3e8,,False,62.47001266990548,6.3429258618978235,,"Helse Møre og Romsdal, Korttids døgn Ålesund behandlingssenter",,70 10 50 00,2,Avrusning og TSB-poliklinikk,helse-more-og-romsdal-korttids-dogn-alesund-behandlingssenter,"Jobber med å spisse enheten opp på ROP CBT og kognitiv miljøterapi. Inntil 12 ukers behandlingstid. Høy kompetanse på utredning av psykisk helse og rus, og utreder størsteparten av innlagt pasienter. Enhet med høyt fokus på tverrfaglighet.",0,4 måneder siden
"Arnold Dybjords vei 1, 3511 Hønefoss",,accel,98c9d28e-1d97-4b84-b5a4-3ba31ea22fff,,False,60.144807535930354,10.262752609175442,,"Vestre Viken, Ringerike DPS, vurderingsteam",,32 11 65 00,4,,vestre-viken-ringerike-dps-vurderingsteam,,1,11 måneder siden
"Arnulf Eide-veien 6, 9050 Storsteinnes","Balsfjord, Storfjord og Lyngen",accel,98c9d279-52d9-4f7e-ba4f-8fe0f178dbda,,False,69.23931418997316,19.231624048801198,,"Universitetssykehuset Nord-Norge, Voksenpsykiatrisk poliklinikk Storsteinnes",,77 75 45 00,1,,universitetssykehuset-nord-norge-voksenpsykiatrisk-poliklinikk-storsteinnes,Alle behandlere må behandle pasienter med rusproblemer og sørge for å inneha nødvendig kunnskap og kompetanse.,0,1 uke siden
"Houmsvegen 77, 2385 Brumunddal",Helse Sør-Øst og Helse Nord,accel,98c9d289-9f7f-47c9-98ef-4d44268750fa,,True,60.9302459825508,10.851307220384799,,Kirkens Bymisjon Veslelien,,623 31 750,4,,kirkens-bymisjon-veslelien,"Kunnskapsbasert behandlingstilbud, med høy og bred faglig kompetanse. Utredning av psykisk og somatisk helse, herunder ADHD-problematikk. Individuelt tilpassede behandlingsforløp, med et vidt spekter av metode. Traumesensetiv tilnærming i alle deler av hjelpearbeidet. Samlet ønsker vi med dette å gi et helhetlig og adekvat tilbud til mennesker med ulike hjelpebehov, hvor rus er fellesnevner- mens mennesket er unikt.",0,4 måneder siden
